57,Evaluation should look to include the positive nutrition element of a food not just the negative.,further nutritional information,,,,,,,,,
58,a tax/levy should be added to less healthy items,Did not answer the question,,,,,,,,,
59,,NA,,,,,,,,,
60,,NA,,,,,,,,,
61,,NA,,,,,,,,,
62,,NA,,,,,,,,,
63,,NA,,,,,,,,,
64,If alternative systems are being considered in the consultation why is there not a modified traffic light system design included to stimulate discussion / thought processes? ,Did not answer the question,,,,,,,,,
65,,NA,,,,,,,,,
66,,NA,,,,,,,,,
67,,NA,,,,,,,,,
68,,NA,,,,,,,,,
69,,NA,,,,,,,,,
70,,NA,,,,,,,,,
71,,NA,,,,,,,,,
72,,NA,,,,,,,,,
73,,NA,,,,,,,,,
74,,NA,,,,,,,,,
75,,NA,,,,,,,,,
76,,NA,,,,,,,,,
77,,NA,,,,,,,,,
78,,NA,,,,,,,,,
79,,NA,,,,,,,,,
80,,NA,,,,,,,,,
81,,NA,,,,,,,,,
82,,NA,,,,,,,,,
83,,NA,,,,,,,,,
84,,NA,,,,,,,,,
85,,NA,,,,,,,,,
86,,NA,,,,,,,,,
87,,NA,,,,,,,,,
88,,NA,,,,,,,,,
89,,NA,,,,,,,,,
90,,NA,,,,,,,,,
91,,NA,,,,,,,,,
92,,NA,,,,,,,,,
93,,NA,,,,,,,,,
94,,NA,,,,,,,,,
95,,NA,,,,,,,,,
96,,NA,,,,,,,,,
97,,NA,,,,,,,,,
98,,NA,,,,,,,,,
99,,NA,,,,,,,,,
100,,NA,,,,,,,,,
101,,NA,,,,,,,,,
102,,NA,,,,,,,,,
103,,NA,,,,,,,,,
104,,NA,,,,,,,,,
105,,NA,,,,,,,,,
106,,NA,,,,,,,,,
107,,NA,,,,,,,,,
108,,NA,,,,,,,,,
109,,NA,,,,,,,,,
110,,NA,,,,,,,,,
111,,NA,,,,,,,,,
112,,NA,,,,,,,,,
113,,NA,,,,,,,,,
114,From a poor background I don't feel that anything I say would make a different,Did not answer the question,,,,,,,,,
115,,NA,,,,,,,,,
116,THIS SURVEY IS TOO LONG ,Did not answer the question,,,,,,,,,
117,,NA,,,,,,,,,
118,,NA,,,,,,,,,
119,,NA,,,,,,,,,
120,,NA,,,,,,,,,
121,,NA,,,,,,,,,
122,,NA,,,,,,,,,
123,,NA,,,,,,,,,
124,,NA,,,,,,,,,
125,,NA,,,,,,,,,
126,,NA,,,,,,,,,
127,,NA,,,,,,,,,
128,,NA,,,,,,,,,
129,no comments,NA,,,,,,,,,
130,,NA,,,,,,,,,
131,,NA,,,,,,,,,
132,,NA,,,,,,,,,
133,,NA,,,,,,,,,
134,,NA,,,,,,,,,
135,,NA,,,,,,,,,
136,,NA,,,,,,,,,
137,"I expect you know BAME + people of colour are over represented in the mental health system ?  New podcast: Covid-19, racism and the roots of health inequality  This recent article maybe of interest ?  Society / Psychiatrists urge new leader to rid profession of institutional racism  You may also be interested in our recent petition ?  Abolish the Mental Health Act – PETITION – PLEASE SIGN!  If you think it is a good idea please sign + promote ?  We are currently using the freedom of information act to gather information around restraints , electro convulsive treatment , seclusion , meds errors + serious incidents  We are asking questions relating specifically to people of colour ( apologise if this is not the correct term) to demonstrate institutional problems ?  It is an expansion of ongoing work ...  Here is a video that hopefully explains I hallucinate and hear voices but I am not ill and I do not take psychiatric drugs ...  Some people would like more Crisis centres somewhere peaceful to stay for a few days...   Some of my friends are homeless and sectioned under the Mental Health act ...   https://www.kingsfund.org.uk/events/integrating-housing-and-health  https://www.theguardian.com/artanddesign/2019/jul/16/norwich-goldsmith-street-social-housing-green-design  Racheal Byrne - Home Group - states around 15:27 minutes into the seminar that their work on MH step down with Greater Manchester NHS trust ...  https://www.homegroup.org.uk/Corporate/Care-and-Support-Partners/Mental-Health-Step-Down  Has saved a lot of public money + helped people ...  Their work has shown 80% of people on acute wards are homeless ...  So why are the powers that be ignoring this work?  https://www.england.nhs.uk/2020/03/mental-health-crisis-services-rolled-out-across-england/  Some of my friends are being bullied by the DWP this bullying is affecting their health …  Some of my friends are in very poor housing and have been for months, which affects their well-being ….  Some of my friends are being forced to take depot injections which they think are unhealthy for them …  https://www.bbc.co.uk/news/health-49639914  https://www.dailymail.co.uk/news/article-7445657/One-four-people-hooked-prescription-drugs-official-review-calls-national-helpline.html  Some of my friend would like to reduce their psychiatric drugs but there is no medical support for them to do this …  Some of my friends feel they are being taken off psychiatric drugs too quickly ...  Some of my friends have said they would like therapeutic communities for their loved ones ...  https://digital.nhs.uk/data-and-information/publications/statistical/mental-health-act-statistics-annual-figures/2018-19-annual-figures  https://www.powertochange.org.uk/news/new-report-reveals-local-authorities-can-strengthen-localism-unlock-power-community-partnership/  Some of my friends are frightened to complain as they fear this will make their situation worse.  Some of my friends do give feedback (with support) but their concerns are not acknowledged or acted upon.  https://www.healthwatch.co.uk/report/2019-08-28/creating-learning-culture-social-care  https://www.richmondandtwickenhamtimes.co.uk/news/18118905.councillor-criticises-richmonds-carers-strategy-speaking-experiences/  Many of my friends in the Mental Health system are BAME / POC …  https://www.kingsfund.org.uk/audio-video/podcast/david-williams-racism-discrimination-health  https://www.kingsfund.org.uk/audio-video/dr-jacqui-dyer-improving-health-urban-communities  Some of my friends have problems raising funds for good community ideas: -  https://www.nesta.org.uk/blog/felicitations-madame-mayor-participatory-budgeting-in-paris-hits-new-highs/  https://www.kingsfund.org.uk/audio-video/donna-hall-wigan-story  https://www.local.gov.uk/sites/default/files/documents/Achieving Integrated Care- 15 best practice actions WEB.pdf  https://www.theguardian.com/politics/2019/jan/09/what-is-a-citizens-assembly-brexit-explainer  https://www.oxford.gov.uk/info/20011/environment/1343/oxford_citizens_assembly_on_climate_change  Repairing our social fabric  https://www.ukonward.com/wp-content/uploads/2020/03/ONWJ8080-Community-report-200304-WEB.pdf  Human rights abuses within Mental Health are not considered or acted upon.  For example, I used the Freedom of Information act to request information regarding restraints, seclusion, ECT and serious incidents.  After over 133 correspondences + 4 months this is the information that has been disclosed.     2018 	  ECT 	  SERIOUS INCIDENTS 	  RESTRAINTS 	  SECLUSION  SLAM 	  54 	  99 	  2559 	  648  SWLSTG 	  38 	  77 	  1467 	  255  CNWL 	  62 	  116 	  1775 	  622  ELFT 	  59 	  161 	  3144 	  1215  West London 	  24 	  66 	  1247 	  1162   Next year, time permitting, I plan to gather this information for the 66 Mental Health trusts + ask about medication errors.  Then there is Carolyn Gullery from New Zealand + their approach: -  https://www.kingsfund.org.uk/publications/payments-contracting-integrated-care  Though I am not comfortable with Clinical lead decision making (Ben Goldacre’s books Bad Pharma + Bad Science are relevant here?) Power to the people I say!  The homelessness work done by Andy Burnham’s team is very positive in my opinion …  https://www.themeteor.org/2018/12/23/burnhams-bed-every-night-scheme-enough/  https://www.theguardian.com/commentisfree/2017/may/10/andy-burnham-salary-manchester-homeless  The work in Birmingham + Preston is also very interesting ….  https://www.theguardian.com/society/2019/may/23/birmingham-to-begin-accident-and-emergency-online-chat-service-in-tech-revolution-for-nhs-care     “We needed a new economic model. It was obvious that we needed something new and different and radical, based upon the economic crash of 2008 which affected us quite badly.  That wealth extraction, that straight-jacket that we’re in, we want to tackle by offering an alternative…  So, you’re getting that virtual cycle of keeping wealth in the community and democratising the wealth as well, and democratising the economy.  We are actually bringing that democracy back. And let’s compete with the big banks.  If people get educated I think we could create some kind of really strong movement.”  ~ Preston City Council Leader Matthew Brown   As is … Local Futures – Economics of happiness  https://www.localfutures.org/  https://www.youtube.com/watch?v=4r06_F2FIKM  https://www.youtube.com/watch?v=bm2wzolIuvw&feature=youtu.be  https://www.localfutures.org/programs/global-to-local/insane-trade-short-film-factsheet/  Experts by experience that are paid and peer support are vital.  https://discover.dc.nihr.ac.uk/content/signal-000673/mental-health-crisis-readmissions-may-reduce-with-peer-support  https://www.mentalhealth.org.uk/projects/peer-education-project-pep  https://www.dorsethealthcare.nhs.uk/patients-and-visitors/our-services-hospitals/mental-health/retreat  Please be aware of the following: -  https://www.youtube.com/watch?v=zDZFcDGpL4U  https://www.taxjustice.net/2018/10/05/how-the-city-of-london-makes-us-all-poorer-infographic/  Dr James Davies: The Origins of the DSM  https://www.youtube.com/watch?v=6JPgpasgueQ  Pat Braken's work ....  https://www.youtube.com/watch?v=cV5RKT6Q8qU  Jo Moncrieff's work ...  https://www.youtube.com/watch?v=FjTisLX4q1Y  Joanna Moncrieff and The Radar project FEEL (Friends of East End Loonies) hosted this event at Kingsley Hall with Joanna Moncrieff critical psychiatrist...  https://www.youtube.com/watch?v=eAnVi3Zuay4  https://www.madinamerica.com/2019/04/psychiatrists-view-drug-free-programs-psychosis-unscientific-study-finds/  Hearing Voices Network  https://www.hearing-voices.org/  nsun (national survivor user network), network for mental health in England, UK. Independent,  https://www.nsun.org.uk/  national paranoia network  http://www.nationalparanoianetwork.org/  Zero tolerance to suicide alliance  https://www.zerosuicidealliance.com/  https://discover.dc.nihr.ac.uk/content/signal-000672/guided-online-interventions-can-help-people-recover-from-depression  http://www.suicidecrisis.co.uk/  Micheala Amering's work ....      https://news.liverpool.ac.uk/2014/04/25/viewpoint-the-medicalisation-of-human-distress/  https://www.shapingourlives.org.uk/wp-content/uploads/2016/05/FROM-MENTAL-ILLNESS-PDF-2.pdf  Ben Goldacre's Bad Pharma and Bad Science that Doctors and academics made up illnesses for money !   Then there is the BBC series The doctor how gave up drugs  https://www.bbc.co.uk/programmes/b0b578bd  https://www.thetimes.co.uk/magazine/the-times-magazine/is-there-a-cure-foralzheimers-disease-f9tp8st9w  Universal citizen wage  Jon Stone The UK’s welfare system should be replaced with a single universal basic income paid to all citizens  https://www.independent.co.uk/news/uk/politics/replace-the-benefits-system-with-a-universal-basic-income-paid-to-all-citizens-think-tank-recommends-a6777101.html  A no-strings basic income? If it works for the royal family, it can work... Don’t choke at the idea of a universal basic income. It benefits many – from beggars to entrepreneurs   https://www.theguardian.com/world/2015/dec/26/dutch-city-utrecht-basic-income-uk-greens     Citizen control 	  Degree of citizen power  Delegated power  Partnership  Placation 	  Degree of tokenism  Consultation  Informing  Therapy 	  Non participation  manipulation     Old power 	  New power  Currency 	  Current  Held by few 	  Made by many  Pushed down 	  Pulled in  Commanded 	  Shared  Closed 	  Open  transaction 	  relationships   https://kingsfundmail.org.uk/21A8-65EAV-E6P6XO5H88/cr.aspx  Driving forward health equity – the role of accountability, policy coherence, social participation and empowerment  https://apps.who.int/iris/bitstream/handle/10665/324901/9789289054133-eng.pdf     The Royal College of Psychiatrists booklet “Schizophrenia” (page 26) states: -  “...if there is an inaccurate or abusive item about schizophrenia in the press, a radio talk show or a TV, don’t get depressed, get active. Write a letter, e-mail them, phone them up and tell them where they are wrong. It works! …”  Why just restrict this to the media?  How can this be? things need to change .... pay ratios idea?  Titans of industry earn more than average annual wage in three days By Tom Knowles, Economics Correspondent  https://www.thetimes.co.uk/edition/news/titans-of-industry-earn-more-than-average-annual-wage-in-three-days-wllxdm3w7  Green Party | Green Party calls for wealth tax to tackle soaring inequality  https://www.greenparty.org.uk/news/2017/01/16/green-party-calls-for-wealth-tax-to-tackle-soaring-inequality/  Hope ? https://www.theguardian.com/commentisfree/2017/may/10/andy-burnham-salary-manchester-homeless  From the Economist ….  https://films.economist.com/nowandnext/#work-next  If I am lucky enough to never need surgery, then a road sweeper is more important to me than a surgeon?  Or should I sweep the road myself?  The Mental Health act needs to be repealed it is one of the few areas of law where you can be locked away for something you may do!  Restraints, ECT and serious incidents in the Mental Health system needs to be reviewed by members of the public.  https://www.cqc.org.uk/sites/default/files/20161213-learning-candour-accountability-full-report.pdf  https://www.cqc.org.uk/publications/major-report/monitoring-mental-health-act-201819  Not just me? https://www.theguardian.com/world/2018/oct/01/police-stun-guns-mentally-ill-patients-health-uk  https://www.theguardian.com/society/2018/oct/04/secure-hospitals-are-not-penal-institutions  https://www.theguardian.com/society/2018/oct/08/ptsd-rates-increase-in-uk-military-personnel  https://www.independent.co.uk/news/health/depression-withdrawal-symptoms-antidepressants-side-effects-nice-prescription-drugs-a8565066.html  ‘It’s Torture’: Critics Step Up Bid to Stop Use of Electric Shocks on Children  From The Guardian: A coalition of advocacy groups led by Disability Rights International have written to the human rights arm of the Organisation of American States, based in Washington, demanding that the U.S., which is one of its 35 member states, impose a federal ban on electric shock. Neuroscientists Make a Case against Solitary Confinement  From Scientific American: Neuroscientists, lawyers and activists have teamed up with the goal of abolishing solitary confinement as cruel and unusual punishment, stating that social isolation and sensory deprivation can have traumatic effects on the brain, many of which may be irreversible.  Some things I have known for years …  https://www.theguardian.com/society/2018/sep/09/nhs-land-earmarked-for-sale-to-developers  https://www.gov.scot/policies/land-reform/community-right-to-buy/  https://www.theguardian.com/society/2018/sep/11/nhs-care-regulator-says-sexual-incidents-commonplace-in-mental-health-units  https://www.ombudsman.org.uk/news-and-blog/news/1-5-mental-health-patients-dont-feel-safe-nhs-care-ombudsman-finds  Mental Health is one of the few areas where you cannot refuse treatment.  Mental health hospitals need to be closed as per Italy and a move to respite implemented: -  http://www.richmondandtwickenhamtimes.co.uk/news/14778547.Police_officer_tells_how_new_mental_health_haven_spares_people_trauma_of_being_sectioned_and_saves_colleagues_hours_of_work/  https://www.nuffieldtrust.org.uk/news-item/reinventing-the-hospital  https://www.theguardian.com/books/2015/aug/19/man-who-closed-asylums-franco-basaglia-review  Then there are people assemblies to resolve the poor public services we have?  https://www.youtube.com/watch?v=__AEab_qDwk  https://youtu.be/aOtFYMDiOtI  https://youtu.be/d8eqWBVtD2g  https://www.youtube.com/watch?v=wPHXx8VMhMM  https://youtu.be/3MpozzEMlkE  https://www.youtube.com/watch?v=0ddU_UaBfPI  https://www.bbc.co.uk/sounds/play/m0000mkd  http://www.nlgn.org.uk/public/wp-content/uploads/The-Community-Paradigm_FINAL.pdf  http://www.nlgn.org.uk/public/wp-content/uploads/Community-Commissioning.pdf     From Alexis Quinn :-  My name is Alexis Quinn and I am autistic.   In 2012 I was detained under the mental health act for almost three and a half years. I spent time in various psychiatric hospitals and an Assessment and Treatment Unit. The reason I was there was because I am autistic and other people, who were not experts in autism, decided I should not be allowed to leave. Whilst there I was drugged, restrained, secluded, put in long term segregation. I was mistreated.  The events witnessed in the recent Panorama documentary ‘Hospital Abuse Scandal’ and which I detail in my book, Unbroken, showed vulnerable adults who are autistic or have a learning disability being abused and mistreated. These events were truly shocking but because of my experiences, I did not find them surprising.  That’s why I’m working with the National Autistic Society to try and bring about change.  To watch the denial of vulnerable people’s human rights should be regarded as a national scandal but all the more so considering the Government has failed to stop the use of inpatient units such as Whorlton Hall, through its recently-ended Transforming Care programme.  Over 2,000 children and adults remain locked up despite Government promises to end their use.  This is not a question of money, or funding – millions of pounds are spent on keeping vulnerable children and adults locked up hundreds of miles from their homes. This is about where the money is spent and what kind of service it is spent on. Autism and learning disabilities are not a mental health condition.  My time in inpatient care cost the state approximately £2.5 million. In reality I could have been easily treated closer to or even in my home and with the support of my family and friends which would have cost a fraction of this amount. The right use of the money spent on locking up autistic people and people with a learning disability is on community services, where people can be in their own homes or closer to their families, not in mental health inpatient units.  Instead I was locked up, shut off from my family, leaving my baby daughter with no mother for months.  I needed help – I asked for help – and instead I got this.  The time has come for reviews and investigations to end. No more empty promises. No more warm words.   We need action from the Government to stop the use of inpatient units and to safeguard the human rights of vulnerable adults like me, and like Clare, Alex and Paul who we saw in the documentary, who are autistic or have a learning disability.   I call upon the Government to end the abuse and mistreatment of autistic people and people with a learning disability in inpatient units by doing to the following:      Declare that autistic people and people with a learning disability are #HumanToo and must have their human rights safeguarded     Immediately commit to make money available to set up the right community services for autistic people and people with a learning disability - and that this is ring-fenced     Change the wording of the definition of ‘mental disorder’ in the Mental Health Act, which currently includes autism and learning disability – whilst legally safeguarding ‘at risk’ individuals access to Care & Treatment Reviews     Establish accountability right across Government to make sure this happens  For information and support on this issue you can visit the National Autistic Society website.  https://www.kingsfund.org.uk/audio-video/population-health-animation  https://www.youtube.com/watch?v=EHkozMIXZ8w  https://www.youtube.com/watch?v=dvba62gObhw  https://www.youtube.com/watch?v=t4LwS5GPgEA  The data speaks for itself.  Each admission, each electro convulsive treatment , restraint, each seclusion, each serious incident, each medication error is a human rights abuse.  We just need to listen?  Alexis Quinn?  Act wisely?  We are not using public money – our money well (each admission costs at least £18K)  We need to learn from Italy, Finland, Manchester and others.  Work together?  How will we put the change we need into action? not just strategy papers?  We need the other part of this “picture” the data from the Haven and community.  In summary my aims are ...  All Mental Health Hospitals should be closed as per Italy; the Haven/ respite/ Home Group model should be adopted - which is part of the NHS long term plan.  The Mental Health Act should be abolished, one of the few areas of law where you can be locked away for something you may do, by people who have a vested interest in locking you away  (James Davies work CRACKED why psychiatry is doing more harm than good is relevant here?)  People should be supported to come off psychiatric drugs if this is their wish ...  Antipsychotics Associated with Severe COVID-19 and Fatal Outcomes  Move from a Medical model of distress to a social / Human Rights model of distress ...  From Paternalism to human rights ...  Citizen assemblies, community right to buy, community commissioning, participatory budgeting?  Hope you have a great 2020  In love + solidarity  Wendy Micklewright",Did not answer the question,,,,,,,,,
138,,NA,,,,,,,,,
139,,NA,,,,,,,,,
140,"The label needs to be larger, some are so small they can only be seen with a magnifying glass ",Did not answer the question,,,,,,,,,
141,"This is very intersting. I have enjoyed reading it all,",Did not answer the question,,,,,,,,,
142,,NA,,,,,,,,,
143,,NA,,,,,,,,,
144,,NA,,,,,,,,,
145,,NA,,,,,,,,,
146,,NA,,,,,,,,,
147,,NA,,,,,,,,,
148,,NA,,,,,,,,,
149,,NA,,,,,,,,,
150,,NA,,,,,,,,,
151,,NA,,,,,,,,,
152,,NA,,,,,,,,,
153,,NA,,,,,,,,,
154,,NA,,,,,,,,,
155,,NA,,,,,,,,,
156,,NA,,,,,,,,,
157,,NA,,,,,,,,,
158,,NA,,,,,,,,,
159,,NA,,,,,,,,,
160,,NA,,,,,,,,,
161,,NA,,,,,,,,,
162,,NA,,,,,,,,,
163,,NA,,,,,,,,,
164,,NA,,,,,,,,,
165,,NA,,,,,,,,,
166,,NA,,,,,,,,,
167,,NA,,,,,,,,,
168,,NA,,,,,,,,,
169,,NA,,,,,,,,,
170,I think a bit more doing in a practical way to feed the hungry. And less theory  would deal with the imediate problems better.   To prevent disease and sadly death in some cases.    Too much food waste in some cases. Food that could be  Cooked to feed everyone.    ,Did not answer the question,,,,,,,,,
171,,NA,,,,,,,,,
172,,NA,,,,,,,,,
173,,NA,,,,,,,,,
174,,NA,,,,,,,,,
175,,NA,,,,,,,,,
176,,NA,,,,,,,,,
177,,NA,,,,,,,,,
178,,NA,,,,,,,,,
179,,NA,,,,,,,,,
180,,NA,,,,,,,,,
181,,NA,,,,,,,,,
182,,NA,,,,,,,,,
183,,NA,,,,,,,,,
184,,NA,,,,,,,,,
185,,NA,,,,,,,,,
186,,NA,,,,,,,,,
187,,NA,,,,,,,,,
188,,NA,,,,,,,,,
189,,NA,,,,,,,,,
190,I have not read the annex.  Time presses....,Did not answer the question,,,,,,,,,
191,,NA,,,,,,,,,
192,,NA,,,,,,,,,
193,,NA,,,,,,,,,
194,,NA,,,,,,,,,
195,,NA,,,,,,,,,
196,,NA,,,,,,,,,
197,,NA,,,,,,,,,
198,,NA,,,,,,,,,
199,,NA,,,,,,,,,
200,,NA,,,,,,,,,
201,,NA,,,,,,,,,
202,,NA,,,,,,,,,
203,,NA,,,,,,,,,
204,,NA,,,,,,,,,
205,,NA,,,,,,,,,
206,,NA,,,,,,,,,
207,,NA,,,,,,,,,
208,,NA,,,,,,,,,
209,,NA,,,,,,,,,
210,,NA,,,,,,,,,
211,,NA,,,,,,,,,
212,,NA,,,,,,,,,
213,,NA,,,,,,,,,
214,,NA,,,,,,,,,
215,,NA,,,,,,,,,
216,,NA,,,,,,,,,
217,,NA,,,,,,,,,
218,Why isn't there a link to take me directly to the relevant paragraphs? ,NA,,,,,,,,,
219,,NA,,,,,,,,,
220,,NA,,,,,,,,,
221,,NA,,,,,,,,,
222,,NA,,,,,,,,,
223,,NA,,,,,,,,,
224,,NA,,,,,,,,,
225,,NA,,,,,,,,,
226,,NA,,,,,,,,,
227,,NA,,,,,,,,,
228,,NA,,,,,,,,,
229,,NA,,,,,,,,,
230,,NA,,,,,,,,,
231,,NA,,,,,,,,,
232,,NA,,,,,,,,,
233,ISO needed,NA,,,,,,,,,
234,,NA,,,,,,,,,
235,,NA,,,,,,,,,
236,,NA,,,,,,,,,
237,,NA,,,,,,,,,
238,,NA,,,,,,,,,
239,,NA,,,,,,,,,
240,,NA,,,,,,,,,
241,,NA,,,,,,,,,
242,,NA,,,,,,,,,
243,,NA,,,,,,,,,
244,,NA,,,,,,,,,
245,,NA,,,,,,,,,
246,,NA,,,,,,,,,
247,,NA,,,,,,,,,
248,,NA,,,,,,,,,
249,,NA,,,,,,,,,
250,,NA,,,,,,,,,
251,,NA,,,,,,,,,
252,,NA,,,,,,,,,
253,,NA,,,,,,,,,
254,,NA,,,,,,,,,
255,,NA,,,,,,,,,
256,,NA,,,,,,,,,
257,,NA,,,,,,,,,
258,,NA,,,,,,,,,
259,,NA,,,,,,,,,
260,,NA,,,,,,,,,
261,,NA,,,,,,,,,
262,,NA,,,,,,,,,
263,,NA,,,,,,,,,
264,Instead of wasting  money on labelling why not spend more on educating on the importance of healthy eating.,Education needed/familiarisation costs,,,,,,,,,
265,,NA,,,,,,,,,
266,,NA,,,,,,,,,
267,,NA,,,,,,,,,
268,Sorry I hope that will be all!,Did not answer the question,,,,,,,,,
269,,NA,,,,,,,,,
270,,NA,,,,,,,,,
271,,NA,,,,,,,,,
272,,NA,,,,,,,,,
273,,NA,,,,,,,,,
274,,NA,,,,,,,,,
275,,NA,,,,,,,,,
276,,NA,,,,,,,,,
277,,NA,,,,,,,,,
278,,NA,,,,,,,,,
279,,NA,,,,,,,,,
280,,NA,,,,,,,,,
281,,NA,,,,,,,,,
282,,NA,,,,,,,,,
283,,NA,,,,,,,,,
284,,NA,,,,,,,,,
285,,NA,,,,,,,,,
286,,NA,,,,,,,,,
287,,NA,,,,,,,,,
288,,NA,,,,,,,,,
289,,NA,,,,,,,,,
290,,NA,,,,,,,,,
291,,NA,,,,,,,,,
292,,NA,,,,,,,,,
293,,NA,,,,,,,,,
294,,NA,,,,,,,,,
295,,NA,,,,,,,,,
296,,NA,,,,,,,,,
297,,NA,,,,,,,,,
298,,NA,,,,,,,,,
299,,NA,,,,,,,,,
300,,NA,,,,,,,,,
301,,NA,,,,,,,,,
302,,NA,,,,,,,,,
303,,NA,,,,,,,,,
304,,NA,,,,,,,,,
305,,NA,,,,,,,,,
306,,NA,,,,,,,,,
307,,NA,,,,,,,,,
308,,NA,,,,,,,,,
309,,NA,,,,,,,,,
310,,NA,,,,,,,,,
311,,NA,,,,,,,,,
312,,NA,,,,,,,,,
313,,NA,,,,,,,,,
314,,NA,,,,,,,,,
315,I don't have time to examine the material you are offering - unless you want to provide a grant to potential respondents to your questionnaires to enable them to spend time examing the technical annex material.  (Is this a public consultation or for nutrition/public health professionals?),Did not answer the question,,,,,,,,,
316,,NA,,,,,,,,,
317,,NA,,,,,,,,,
318,,NA,,,,,,,,,
319,,NA,,,,,,,,,
320,don't have time to read it. ,Did not answer the question,,,,,,,,,
321,Needs to include price and value for money,Other,,,,,,,,,
322,,NA,,,,,,,,,
323,,NA,,,,,,,,,
324,,NA,,,,,,,,,
325,,NA,,,,,,,,,
326,"Obesity, diabetes and other nutritional issues will only be addressed if the buyers of the food know what the food contains. Information is key.",further nutritional information,,,,,,,,,
327,,NA,,,,,,,,,
328,,NA,,,,,,,,,
329,,NA,,,,,,,,,
330,,NA,,,,,,,,,
331,,NA,,,,,,,,,
332,,NA,,,,,,,,,
333,,NA,,,,,,,,,
334,,NA,,,,,,,,,
335,,NA,,,,,,,,,
336,,NA,,,,,,,,,
337,,NA,,,,,,,,,
338,,NA,,,,,,,,,
339,,NA,,,,,,,,,
340,,NA,,,,,,,,,
341,,NA,,,,,,,,,
342,,NA,,,,,,,,,
343,"It is flawed! I have already supplied information on a previous instruction, please investigate.",Did not answer the question,,,,,,,,,
344,,NA,,,,,,,,,
345,,NA,,,,,,,,,
346,,NA,,,,,,,,,
347,,NA,,,,,,,,,
348,,NA,,,,,,,,,
349,,NA,,,,,,,,,
350,,NA,,,,,,,,,
351,,NA,,,,,,,,,
352,,NA,,,,,,,,,
353,,NA,,,,,,,,,
354,,NA,,,,,,,,,
355,,NA,,,,,,,,,
356,,NA,,,,,,,,,
357,,NA,,,,,,,,,
358,,NA,,,,,,,,,
359,,NA,,,,,,,,,
360,,NA,,,,,,,,,
361,,NA,,,,,,,,,
362,,NA,,,,,,,,,
363,,NA,,,,,,,,,
364,,NA,,,,,,,,,
365,,NA,,,,,,,,,
366,,NA,,,,,,,,,
367,,NA,,,,,,,,,
368,,NA,,,,,,,,,
369,,NA,,,,,,,,,
370,,NA,,,,,,,,,
371,,NA,,,,,,,,,
372,,NA,,,,,,,,,
373,,NA,,,,,,,,,
374,,NA,,,,,,,,,
375,,NA,,,,,,,,,
376,,NA,,,,,,,,,
377,,NA,,,,,,,,,
378,,NA,,,,,,,,,
379,,NA,,,,,,,,,
380,,NA,,,,,,,,,
381,,NA,,,,,,,,,
382,,NA,,,,,,,,,
383,,NA,,,,,,,,,
384,,NA,,,,,,,,,
385,,NA,,,,,,,,,
386,,NA,,,,,,,,,
387,,NA,,,,,,,,,
388,,NA,,,,,,,,,
389,,NA,,,,,,,,,
390,,NA,,,,,,,,,
391,,NA,,,,,,,,,
392,,NA,,,,,,,,,
393,,NA,,,,,,,,,
394,,NA,,,,,,,,,
395,,NA,,,,,,,,,
396,,NA,,,,,,,,,
397,,NA,,,,,,,,,
398,,NA,,,,,,,,,
399,,NA,,,,,,,,,
400,,NA,,,,,,,,,
